Clean Plaintiff,Plaintiff Type,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"UNION MEDICAL,LLC",Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MERCER BUCKS ORTHOPE ADICS,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
METROPOLITAN PLASTIC SURGERY G,Medical,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORPORATE HEALTHCARE,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CENTRSTATE MEDICAL C ENTER,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HERSHA-HOSPITALITY NNG LP,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
IMAGING CENTER @ NEW MAN ST,Medical,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
BRUNSWICK ORTHOPEDIC ASSOC,Medical,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
SALL /MYERS MEDICAL ASSOCIATE S,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRODIAGNOSIS & R EHAB P A,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLUE STAR HEALTH CAR E SERVICE S,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANESTHESIA GROUP FO ORANGE,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NORTH JERSEY ORTHOPA EDIC,Medical,0,0,0,0,0,0,0,2,5,15,0,0,0,0,0,0
EYE DIAGNOSTIC & SUR GERY CEN,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PRINCETON MEDICAL,Medical,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
HAMILTON ORTHOPAEDIC ASSOC PA,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRINCTON RADIOLOGY ASSO,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADVANCED ENDOSCOPY & SURGICAL,Medical,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0
AMERICAN DENTAL RECY CLING,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUDSON HOSPITAL OPCO LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFINITE DENTAL STUD IO INC,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ACCUCARE MEDICAL PAI MANAGEMEN,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HARBURG MEDICAL SUPP LY COM IN C,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MONMOUTH MEDICAL IN PATIENT,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARSH RADIOLOGY PROF ESSIONAL,Medical,11,12,13,7,0,0,0,0,0,0,0,0,0,0,0,0
BLUE STAR HEALTH CAR E SERV,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NORTH JERSEY SURGICA L GRP PA,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AARON MEDICAL TRANSP ORTATION I,Medical,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0
"HACKENSACK DENTAL AS SOC.,",Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CRANBURY VETERINARY HOSPITAL,Misc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH JERSEY DIAGNOS TIC/MAHON E,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GARDEN ST ANESTHESIA,Medical,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
FRIENDLEY DENTAL,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RAMAPO ANESTHESIOLOG ISTS,Medical,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0
SILVER HILL HOSPITAL,Medical,0,0,2,0,1,1,1,1,0,0,0,0,0,4,2,0
SO JERSEY DIAGNOSTIC S,Medical,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ANESTGHESIA ASSOC OF MORRISTO W,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RADIOLOGY ASSOC. OF,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESBYTHERIAN MEDICA L CENTER,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMAGING CENTER AT NE WMAN ST,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MID ATLANTIC SURGICAL,Medical,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SOMERSET AMBULATORY,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHUR MEDICAL & SPR OTS ASSOC,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITY DENTAL HEALTH SERVCICES,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SSM HEALTH CARE MINI STRY CORP,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGNETIC IMAGING AT KENNEDY , P",Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MEDICAL PARK IMAGING P.A.,Medical,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
SJ HOSP GROUP ANESTH IA,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MID ATLANTIC SURGICA L ASSOCIA T,Medical,0,1,0,2,1,3,4,9,8,12,8,3,7,7,0,0
"SOMERSET ORAL SURGER Y GROUP, P",Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NORTHERN NJ ANESTHES IA ASSCO,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
EXCEL ORTHOPEDIC REH ABILITATI,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RADIOLGY PA,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSOCIATES IN ORTHOP EDIC SURG E,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MONTCLAIR RADIOLOGIC AL ASSOCI A,Medical,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SURGICAL PODIATRY AS SOCIATES,Medical,2,4,1,0,2,0,2,0,2,1,1,0,0,0,0,0
WAYNE DENTAL ASSOC,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EASTERN DENTAL LAURE L SPRINGS L,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JERSEY SHORE ANESTHE ASSO,Medical,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
FAMILY AMBULANCE,Medical,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAN GROUW ORTHOPAEDI C ASSOC.,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SUTTON PLACE IMAGING,Medical,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0
GLENN ORTHOPEDIC PRO F ASSOC,Medical,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MMC MEDICAL PRACTICE -PEDIATRI C,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
UNIVERSITY ORTHOPEDI SPECIALIS T,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
THE MEMORIAL HOSPITA L OF SALE M,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORAL & MAXILLOFACIAL ASSOCS OF,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MEDICAL BILLING ACCR ED,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"LINCOLN MEDICAL,MENT AL HEALTH",Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PRINCETON RADIOLOGY ASSN,Medical,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
VALLEY ANESTHESIA INC,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VERONA - CEDAR GROVE DENTAL A S,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARK ST DENTAL ASSOC,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTERIM HEALTH CARE MERCER CT Y,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DENTAL CARE OF HILLS DALE,Medical,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0
LIFELINE MEDICAL ASSOCIATE,Medical,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
NORTHWEST ANESTH P A,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TH HOSPITAL CENTER A T ORANGE,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"MERCER-BUCKS ORTHOPE DICS, PC",Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GARDEN STATE ORTHOPA EDIC,Medical,0,2,5,1,1,0,0,0,0,0,0,0,1,0,0,0
"COMMUNITYHOSPITAL GR OUP ,INC",Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
STAFFORD DENTAL,Medical,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
RIVER VIEW MEDICAL C ENTER,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRINCETON HOSPITAL M ED ASSOC,Medical,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0
CTR.FOR DENTAL&ORAL,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AMBOY ANESTHESIA ASS OC MD PA,Medical,0,0,0,0,0,1,15,18,11,12,5,8,30,1,0,0
WESTWOOD ANESTHESIA ASSOC,Medical,24,41,92,35,60,51,15,5,1,2,1,0,0,0,0,0
COMMUNITYSURGICALSUP PLY,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANESTHESIA ASSOCIATE S,Medical,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0
UMDNJ RWJ ANESTHESIO LOGY,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IN LINE HEALTHCARE/L EBRN,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RESES MEDICAL,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EASTERN DENTAL CENTE R OF OLD B,Medical,0,1,1,0,5,1,0,0,0,0,0,0,0,0,0,0
ACME ANESTHESIOLOGIS T,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NORTHWEST RADIOLOGY GRP,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEALTH CARE ASSOC OF NJ INC,Medical,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
THE MEDICAL CARE INSTITUTE,Medical,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0
MONTCLAIR COMMUNITY HOSPITAL,Medical,11,8,13,0,1,0,0,0,0,0,0,0,0,0,0,0
JRM MEDICAL SERVICES INC,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NEWSRK BETH ISRAEL MEDICAL,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ELIZABETH SURGICAL C GROUP LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOJERSEYORALMAXILLOC ACIALSURG,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOUNTINSIDE HOSPITAL,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIVINGSTON DENTAL ASSOC.,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JEFFERSON MEDICAL,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEDIPLEX SURGERY CTR OF SOLAR I,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DENTAL WAY THE,Medical,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EDISON ANESTHESIA AS SOC,Medical,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
COOPER ORAL MAXILLOF ACIAL,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HEALTH SOUTH REHAB HOSPITAL,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTE 10 DENTAL ASSOC,Medical,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ADVANCED IMAGING & RAD ASSOC,Medical,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
PACE ORTHOPEDICS & S PORT MEDI C,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MILLBURN SURGICAL AS SOCIATES B,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITU DENTAL HEALTH SERVICES,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HAMILTON HOSPITAL,Medical,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
VENCOR HOSPITAL,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASFANTIC DENTAL ASSO C,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MUHLENBERG MEDICAL C ENTER,Medical,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AMBULATORY CENTER FO R ENDSOCO P,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SHARLIN RADIOLGY ASS OCIATES P A,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DENTAL GROUP OF EAST BRUNSWCI K,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NEUROSURGICAL ASSOC CENTRAL N J,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOORISTOWN MEMORIAL HOSPITAL,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC MEDICAL PRODUCTS,Medical,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EAST BERGEN IMAGING/ SONG,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LAB TECH DENTAL DESI GN,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NEWCOMB MEDICAL CTR,Medical,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MID-ATLANTIC EQUINE MEDICAL C T,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HUDSON ANESTHESIA AS SOCIATES,Medical,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
HAMILTON HEALTH CARE CENTER,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
METAMORPHOSIS PLASTI C SURGERY,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL OF THE UNIV OF PENNA,Medical,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
LIFELINE MEDICAL ASS OCIATES L L,Medical,0,0,0,0,0,0,1,5,6,3,0,0,0,0,0,0
AVENEL ISELIN MEDICA GROUP,Medical,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"NEW CENTURY IMAGING, LLC",Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RADIOLOGY GRP OF NB,Medical,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
NORTH JERSEY ORAL AN MAXILLO,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THE PLASTIC SURGERY CENTER P A,Medical,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ATLANTIC ORTHOPAEDIC ASSC LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CLARA BARTON DENTAL LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THE ORTHOPEDIC INSTI TUTE OF N J,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUND SHORE MEDICAL CTR,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PRINCETON ANESTHESIA SERV ASS O,Medical,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"SADDLE BROOK SURGICE NTER, INC",Medical,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MON OCEAN HOSPITAL S ERVICE,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
EASTERN DENTAL CENTE R OF WODB R,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NORTHERN WESTCHESTER HOSPITAL,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MID ATLANTIC SURGICA L ASSOC P C,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NJ AMBULATORY ANESTH,Medical,0,0,0,0,0,0,0,0,1,6,2,1,0,5,0,0
HOSPITAL UNIVERSITY PENNSYLVA N,Medical,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
ATHENA DIAGNOSTICS I NC,Medical,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
THE FAMILY MEDICAL C TR,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MEDICAL IMAGING CENT ER NJ,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CHILDREN HOSPITAL ME D GROUP,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ESSEX EYE SURGERY & LASER CEN,Medical,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
UNION AVNUE DENTAL C ENTER,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANESTHESI GROUP OF O RANGE,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PRINCETON ANESTHESIA,Medical,0,0,0,0,1,12,6,3,1,0,1,4,3,0,0,0
PREAKNESS RADIOLOGY ASSOC,Medical,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ADVANCED SURGICAL SO LUTIONS,L L",Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANESTHESIA ASSC OF MORRISTOW N,Medical,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"AESTHETIC DENTAL CAR E, LLC",Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MED IMAGING/NO JERSE Y RAD,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAVIEW ORTHOPAEDIC MED ASSOC,Medical,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WESTWOOD ANESTHESIA ASSOCITES,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ANESTHESIOLOGY MEDIC AL GROUP,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLASTIC SURGICAL ASS OCIATES,Medical,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
NOTCH VIEW IMAGING & MAMMOGRAP,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PORTER MEDICAL CENTE R-OP,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HITACHI MEDICAL DIAG NOSTICS,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S J RADIOLOGY ASS,Medical,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
WASHINGTON MEDICAL/V ITALE,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AMBOY ANESTHESIA ASS COIATES,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RADIOLOGIC ASSOICATE S OF NORT H,Medical,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
MEDICAL MULTISPECIAL TY ASSOC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
ROBERT WOOD JOHNSON SURGERY,Medical,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRINCETON REGIONL ORTHOPEDC,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AESTHETIC DENTAL CAR E,LLC",Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
UMDNJ HOSPITAL,Medical,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0
NORTH JERSEY PEDIATR IC ORTHOP E,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FRIENDLY DENTAL,Medical,0,15,2,2,2,1,3,2,0,4,2,3,5,0,0,0
PRINCETON ANESTHESIA SERV ASSO C,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"TCB DENTAL , P.A.",Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
UNIV.SURGICAL ASSOCI ATES,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HACENSACK UNIVERSITY MEDICAL C,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CORNELL ANESTHESIOLO GISTS,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ST MICHAELS'S MEDICA L CENTER,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADVANCED AMUBLATORY ANESTHESI A,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RADIOLOGIC GROUP OF NO JERSEY,Medical,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
VALLEY MEDICAL SVCS,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AC DENTAL LAB,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AMBULATORY ENDOSCOPI C SURGICA L,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLION HEALTHCARE IN C,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
EASTERN DENTAL CNTER EWING,Medical,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIBERTY ANESTHEIA & PAIN MANA,Medical,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CLIFTON RADIOLOGIST ASSOCIATE S,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
JEFF'S SURGICAL SUPP LY INC,Medical,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0
BEST CARE MEDICAL SUPPLY,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
JEFFS SURGICAL SUPP LY INC,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WOMENS HOSPITAL FERT ILITY CTR,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PULMONARY MEDICAL AS SOCIATES,Medical,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH JERSEY SURGICA L,Medical,0,0,0,0,1,7,14,2,1,1,1,0,0,8,0,0
SJ HOSPITAL SYS MILL VILLE DIV,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOPER SURGICAL/PHYS ICIAN BLG,Medical,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
ALLCARE MEDICAL & RE HABILITAT,Medical,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0
PLEASAN DENTAL CENTE R,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
WINBER MEDICAL CENTE R,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EASTERN DENTAL CTR O F EWING,Medical,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PENNSAUKEN MEDICAL & REHB,Medical,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSOCIATED DENTAL OF ELIZ,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BRIDGEPORT HOSPITAL INC,Medical,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
LASER & SKIN SURGERY CTR,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
DENTAL CHASE OF MONT GOMERY,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ALLCARE MEDICAL AND,Medical,0,0,0,0,0,0,0,5,11,0,4,1,1,3,0,0
NU DIMENSIONS DENTAL CARE,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MORRISTOWN ORTHOPAED IC,Medical,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0
COOPER SURGICAL,Medical,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0
EAST BERGEN IMAGING/ BERNABE,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
COMPREHENSIVE MEDIC AL DIAGNO S,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SURGICARE OF RIDGEWO OD,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERIATRIC & MEDICAL SERVICES I,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MEDICAL TRANSPORTATI ON SYSTEM,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SJ HOSP GROUP ANESTH ESIA,Medical,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0
PACE ORTHOPEDICS &,Medical,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
ADAMS DENTAL STUDIO INC,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
EASTERN DENTAL PERIO DONTICS O F,Medical,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
AESTHETIC DENTAL GRP OF NJ,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
SOMERSET ORAL& MAXILLOFA,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BERGEN FAMILY DENTAL,Medical,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
KAYAL ORTHOPAEDIC CE NTER PC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
AMERICAN SURGICAL CT R OF WEST O,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMERICAN IMAGING SYS TEMS INC,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SALL MYERS MEDICAL ASSOCIATE S,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRINCETON DENTAL GRO UP,Medical,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
NEW ROCHELLE MEDICAL CNTR,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CABRINI MEDICAL CENT ER,Medical,1,0,0,1,0,0,1,1,0,0,0,2,1,0,0,0
BROOKLYN HOSPITAL,Medical,2,2,0,3,0,4,2,3,2,1,1,0,1,0,1,0
N.J. ANESTHESIA ASSOC,Medical,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
HCAKENSACK UNIVERSIT Y MEDICAL C,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RADIOLOGY ASSOCIATES OF N J,Medical,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
DOCTORS OF DENTAL,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ESSEX WOMEN'S HEALTH CARE,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERIGON MEDICAL CONS ULTANTS,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NYU MEDICAL CENTER-H OSPITAL F O,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MED DIAGNOSTIC IMAGI NG/KHALAI F,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ALLI SURGICAL ASSOCI ATE,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
